Column1;ID;NUMERO;NOMBRE;DIRECCION;BARRIO;COMUNA;EMPLAZAMIENTO;ANCLAJES;Lat;Lon
200;187;261;QUINTEROS LIDORO;1483 Quinteros, Lidoro J. Av.;BELGRANO;COMUNA 13;PLAZOLETA;16;-34,5523;-58,4509
82;68;105;PARQUE SAAVEDRA;García del Río 3590;SAAVEDRA;COMUNA 12;CALZADA;16;-34,5521;-58,4805
302;485;230;PASEO DE LA COSTANERA II;Avenida Costanera Rafael Obligado 5100;PALERMO;COMUNA 14;VEREDA;12;-34,5519;-58,4266
220;322;289;MONTAÑESES;2786 Montañeses;BELGRANO;COMUNA 13;CALZADA;19;-34,5514;-58,4541
307;482;376;PASEO DE LA COSTANERA;Avenida Costanera Rafael Obligado 6200 (y Int. Cantilo);PALERMO;COMUNA 14;VEREDA;12;-34,5503;-58,4297
283;268;399;GARCIA DEL RIO;Garcia Del Rio & Pinto;SAAVEDRA;COMUNA 12;PLAZA ABIERTA;28;-34,55024;-58,4771
327;501;20;GRECIA;Grecia 3290;NUÑEZ;COMUNA 13;VEREDA;12;-34,5492;-58,4619
245;234;344;UNIVERSIDAD DI TELLA;1001 Saenz Valiente, Juan Pablo;BELGRANO;COMUNA 13;CALZADA;20;-34,5481;-58,4476
254;419;359;PLAZA BALCARCE;2324 Jaramillo;NUÑEZ;COMUNA 13;CALZADA;28;-34,5475;-58,4678
305;489;288;SECRETARIA DE DEPORTES;Avenida Libertador 7100 (y Tte Gral. Pablo Ricchieri);NUÑEZ;COMUNA 13;VEREDA;12;-34,5472;-58,4564
186;434;247;PLAZA LUCIO DEMARE;3750 O`Higgins;NUÑEZ;COMUNA 13;PLAZA ABIERTA;16;-34,5457;-58,4651
176;435;227;CLUB CIUDAD DE BUENOS AIRES;Miguel Sanchez y Av. Libertador;NUÑEZ;COMUNA 13;VEREDA;16;-34,5447;-58,4597
266;420;375;CIUDAD UNIVERSITARIA I;Ciudad Universitaria - Pabellón 1(CABA);BELGRANO;COMUNA 13;VEREDA;20;-34,5446;-58,4396
300;483;175;PLAZA MACKENNA;Cramer 4500 (y Arias);SAAVEDRA;COMUNA 12;VEREDA;12;-34,5436;-58,4771
257;431;362;PARQUE DE LA MEMORIA;7201 Av. Costanera;BELGRANO;COMUNA 13;VEREDA;20;-34,5429;-58,4351
301;486;220;PLAZA FELIX LIMA;Ramallo 2200 (y Cuba);NUÑEZ;COMUNA 13;VEREDA;12;-34,5418;-58,4704
267;422;377;CIUDAD UNIVERSITARIA III;Ciudad Universitaria - Pabellón 3 (CABA);BELGRANO;COMUNA 13;VEREDA;28;-34,5414;-58,4442
325;502;296;SAN ISIDRO LABRADÓR;Avenida San Isidro Labrador 4850;SAAVEDRA;COMUNA 12;PLAZA ABIERTA;16;-34,540635;-58,475291
