Column1;ID;NUMERO;NOMBRE;DIRECCION;BARRIO;COMUNA;EMPLAZAMIENTO;ANCLAJES;Lat;Lon
214;387;278;DONATO ALVAREZ;1540 Garcia, Juan Agustin;PATERNAL;COMUNA 15;CALZADA;16;-34,6021;-58,4655
4;4;4;PLAZA ROMA;Lavalle & Bouchard;SAN NICOLAS;COMUNA 1;CALZADA;20;-34,6018;-58,3691
47;60;60;25 DE MAYO;527 25 De Mayo & Lavalle;SAN NICOLAS;COMUNA 1;VEREDA;20;-34,6015;-58,3712
42;51;51;TUCUMAN;Tucuman & 9 De Julio Av.;SAN NICOLAS;COMUNA 1;PLAZOLETA;12;-34,6014;-58,3819
22;26;26;JUANA MANSO I;Manso Juana & De La Barra, Emma;PUERTO MADERO;COMUNA 1;VEREDA;30;-34,6009;-58,3638
96;121;121;YATAY;925 Yatay& Humahuaca;ALMAGRO;COMUNA 5;CALZADA;20;-34,6008;-58,4283
119;330;148;PATERNAL;Punta Arenas 1798;PATERNAL;COMUNA 15;CALZADA;16;-34,6007;-58,47
163;333;203;BEIRO;3572 Av. Beiro;DEVOTO;COMUNA 11;VEREDA;20;-34,6007;-58,5034
248;241;348;VILLA DEL PARQUE;Gutierrez, Ricardo & Lozano, Pedro;VILLA DEL PARQUE;COMUNA 11;PLAZOLETA;12;-34,6007;-58,494
104;212;129;VELASCO;285 Ramirez De Velasco, Juan & Alvarez, Julian;VILLA CRESPO;COMUNA 15;CALZADA;16;-34,6002;-58,4349
19;23;23;SUIPACHA;691 Suipacha & Viamonte;SAN NICOLAS;COMUNA 1;VEREDA;12;-34,6001;-58,3797
167;336;207;PLAZA ARENALES;Nueva York & Chivilcoy;DEVOTO;COMUNA 11;VEREDA;28;-34,6001;-58,5117
111;213;136;ACEVEDO;220 Acevedo;VILLA CRESPO;COMUNA 15;CALZADA;20;-34,5998;-58,4428
23;27;27;MONTEVIDEO;Cordoba Av. & Montevideo;SAN NICOLAS;COMUNA 1;VEREDA;16;-34,5994;-58,3897
181;353;237;MADERO OFFICE;367 Sanchez De Thompson, Mariquita;PUERTO MADERO;COMUNA 1;CALZADA;28;-34,5991;-58,3645
49;63;63;RECONQUISTA;776 Reconquista & Cordoba Av.;SAN NICOLAS;COMUNA 1;VEREDA;24;-34,5985;-58,3728
106;131;131;HOSPITAL DE CLINICAS;Uriburu Jose E., Pres. & Paraguay;RECOLETA;COMUNA 2;VEREDA;16;-34,5983;-58,399
268;368;378;AGRONOMIA;4351 San Martin;AGRONOMIA;COMUNA 15;VEREDA;12;-34,5983;-58,4819
43;54;54;ACUÑA DE FIGUEROA;Lavalle & Acuña De Figueroa, Francisco;ALMAGRO;COMUNA 5;CALZADA;20;-34,5982;-58,4219
233;267;315;BEIRO Y SAN MARTIN;3209 Av. Francisco Beiro;DEVOTO;COMUNA 11;VEREDA;16;-34,5976;-58,4985
110;135;135;MARCELO T. DE ALVEAR;902 Esmeralda & Paraguay;SAN NICOLAS;COMUNA 1;VEREDA;20;-34,5975;-58,3784
168;311;213;HOSPITAL ALVEAR;2626 Av. Warnes;PATERNAL;COMUNA 15;VEREDA;20;-34,5974;-58,4753
228;395;303;HUAURA;1405 Huaura (Esq Fitz Roy);VILLA CRESPO;COMUNA 15;CALZADA;16;-34,5973;-58,4531
29;33;33;FACULTAD DE MEDICINA;987 Uriburu Jose E., Pres. & Alvear, Marcelo T. De;RECOLETA;COMUNA 2;VEREDA;20;-34,5972;-58,3988
